City,Region,State,Country,Latitude,Longitude,Population,WaterPollution,AirQuality
Albuquerque,New Mexico,NM,United States of America,35.084,-106.652,564559.0,39.70588235,83.33333333
Oklahoma City,Oklahoma,OK,United States of America,35.468,-97.516,681054.0,31.73076923,88.33333333
Boise,Idaho,ID,United States of America,43.615,-116.202,235684.0,32.5,68.93939394
Minneapolis,Minnesota,MN,United States of America,44.977,-93.272,429954.0,33.57142857,79.51388889
Tallahassee,Florida,FL,United States of America,30.438,-84.282,196169.0,41.66666667,92.1875
Bismarck,North Dakota,ND,United States of America,46.805,-100.788,73622.0,50.0,95.83333333
Cleveland,Ohio,OH,United States of America,41.5,-81.694,372624.0,54.54545455,66.66666667
Milwaukee,Wisconsin,WI,United States of America,43.042,-87.905,577222.0,43.29268293,79.06976744
Columbia,South Carolina,SC,United States of America,34.001,-81.034,136632.0,52.27272727,66.07142857
Santa Fe,New Mexico,NM,United States of America,35.687,-105.939,87505.0,38.63636364,89.28571429
Helena,Montana,MT,United States of America,46.59,-112.038,32091.0,50.0,100.0
Cheyenne,Wyoming,WY,United States of America,41.14,-104.82,65132.0,0.0,92.85714286
Anchorage,Alaska,AK,United States of America,61.218,-149.885,291247.0,18.75,90.0
Des Moines,Iowa,IA,United States of America,41.587,-93.626,214133.0,38.33333333,82.5
Springfield,Oregon,OR,United States of America,44.046,-123.022,61851.0,50.0,25.0
Norman,Oklahoma,OK,United States of America,35.221,-97.443,128026.0,25.0,100.0
Buffalo,New York,NY,United States of America,42.886,-78.878,278349.0,36.95652174,77.08333333
Carson City,Nevada,NV,United States of America,39.164,-119.767,58639.0,50.0,100.0
Topeka,Kansas,KS,United States of America,39.05,-95.677,126587.0,56.25,81.25
Raleigh,North Carolina,NC,United States of America,35.78,-78.639,467665.0,31.25,84.44444444
Kansas City,Missouri,MO,United States of America,39.104,-94.583,508090.0,44.51219512,76.74418605
Olympia,Washington,WA,United States of America,47.043,-122.9,55605.0,18.75,87.5
Cincinnati,Ohio,OH,United States of America,39.105,-84.514,309317.0,43.10344828,57.57575758
Omaha,Nebraska,NE,United States of America,41.26,-95.94,486051.0,32.35294118,78.57142857
Fresno,California,CA,United States of America,36.737,-119.789,542107.0,78.125,21.25
Richmond,Virginia,VA,United States of America,37.546,-77.453,226610.0,27.63157895,73.17073171
Louisville,Kentucky,KY,United States of America,38.257,-85.757,633045.0,38.79310345,56.06060606
Madison,Wisconsin,WI,United States of America,43.074,-89.383,269840.0,40.32258065,86.76470588
Salem,Oregon,OR,United States of America,44.939,-123.032,175535.0,17.85714286,87.5
Ketchikan,Alaska,AK,United States of America,55.341,-131.645,8192.0,50.0,100.0
Charleston,West Virginia,WV,United States of America,38.35,-81.633,48864.0,50.0,95.0
Tulsa,Oklahoma,OK,United States of America,36.153,-95.991,413066.0,38.63636364,75.0
Santa Monica,California,CA,United States of America,34.019,-118.491,93076.0,54.16666667,66.66666667
Palo Alto,California,CA,United States of America,37.445,-122.162,68572.0,50.0,56.25
Green Bay,Wisconsin,WI,United States of America,44.516,-88.008,107395.0,50.0,63.88888889
Charleston,South Carolina,SC,United States of America,32.776,-79.931,150227.0,57.69230769,75.0
Dover,New Hampshire,NH,United States of America,43.198,-70.874,32741.0,50.0,100.0
Nashua,New Hampshire,NH,United States of America,42.765,-71.468,91322.0,0.0,87.5
Manchester,New Hampshire,NH,United States of America,42.991,-71.463,115644.0,38.88888889,76.92307692
Oak Ridge,Tennessee,TN,United States of America,36.026,-84.24,31402.0,50.0,87.5
