City,State,State_Abbre,Year,Population,Latitude,Longitude,Ozone_O3,Ozone_O3_AQI,Carbon_Monoxide_CO,Carbon_Monoxide_CO_AQI,Sulfur_Dioxide_SO2,Sulfur_Dioxide_SO2_AQI,Nitrogen_Dioxide_NO2,Nitrogen Dioxide_NO2_AQI
Charlotte,North Carolina,NC,2020,874579.0,35.227,-80.843,0.026363515309823966,33.83191667990889,0.2336302550015008,3.6116605752423325,0.13239556614223033,0.1741022211628441,5.822828185559175,12.136643404488233
Charlotte,North Carolina,NC,2021,874579.0,35.227,-80.843,0.028322268366666774,37.56823887362449,0.26076297941994214,4.045557979901695,0.176787216757989,0.19511367489676723,6.71367529542612,14.483199677387665
Charlotte,North Carolina,NC,2022,874579.0,35.227,-80.843,0.029415663559647892,38.48208331616748,0.2404436762246117,3.629944107993793,0.20710744288784522,0.1978079210096266,6.673086868944232,14.085271357750038
Charlotte,North Carolina,NC,2023,874579.0,35.227,-80.843,0.03401095320873869,45.236712749615975,0.2553649656169995,3.944282300733913,0.1866055627069466,0.18131933777095066,5.5127481432838366,13.238504864311317
Cheyenne,Wyoming,WY,2022,65132.0,41.14,-104.82,0.03954919205384818,44.108235044525365,0.06936165290301992,0.9259415972319198,0.12280504817383035,0.1838010555752491,3.0976581608172236,8.976332102783715
Cheyenne,Wyoming,WY,2023,65132.0,41.14,-104.82,0.04093628556376574,44.50526201952787,0.07754421109124778,1.0286226318484384,0.060835923591027075,0.03337041156840934,3.127017171457263,9.120508678072637
Chicago,Illinois,IL,2000,2746388.0,41.882,-87.628,0.013678861647034213,18.075884715210634,0.6286229184349752,10.107883346168107,4.674905928683266,17.83597552836485,31.62305409522556,46.887835467708655
Chula Vista,California,CA,2000,275487.0,32.64,-117.082,0.02942699298864218,40.80187939300843,0.8403031605321649,13.423471465810175,2.676899674709654,9.614907717730299,16.817877420686123,30.010316296606618
Chula Vista,California,CA,2001,275487.0,32.64,-117.082,0.031804614309346564,43.42652329749104,0.8154296507719878,12.728584229390682,3.336823742266336,10.636696994761511,16.911694121884477,30.40152329749104
Chula Vista,California,CA,2002,275487.0,32.64,-117.082,0.03169709461085509,42.24022017409114,0.7413230620327701,11.712147977470558,3.6768328812724014,8.460650281618024,17.7005884828149,32.14996799795187
Chula Vista,California,CA,2003,275487.0,32.64,-117.082,0.023737501328416052,30.55193579285626,0.7185819590175151,11.377130012182848,3.5773417580360456,7.263127240143369,17.66860905943641,32.02297813266946
Chula Vista,California,CA,2004,275487.0,32.64,-117.082,0.031416483880237295,42.3992615251514,0.7207148018353727,11.007635026572736,3.066792689676802,6.48510072920529,16.08183732669324,29.482857495983193
Chula Vista,California,CA,2005,275487.0,32.64,-117.082,0.032961934737450786,44.07528581139538,0.6796867721403411,10.215861097868885,3.1233484910829055,5.792968818969932,16.381159606053902,29.063655825696983
Chula Vista,California,CA,2006,275487.0,32.64,-117.082,0.033471422279825906,43.39455325140809,0.6121215644713262,9.188184843830005,3.3045904184395805,6.364144905273938,16.91981851683308,30.838703277009728
Chula Vista,California,CA,2007,275487.0,32.64,-117.082,0.03511569059352288,45.13651964951054,0.662800951385423,9.735901010708163,2.632273000356728,4.932859095867511,15.029200962267334,28.346391535066147
Chula Vista,California,CA,2008,275487.0,32.64,-117.082,0.03360065370782351,44.44732109751576,0.5984293500957855,8.745266345321962,2.278876944092201,4.299706463972314,14.771266592862439,28.029328883945123
Chula Vista,California,CA,2009,275487.0,32.64,-117.082,0.03415100752688172,43.9249800876145,0.5499219336419753,8.305465949820787,1.9969259448227799,3.72594583831143,13.427682590023894,25.318180007964955
Chula Vista,California,CA,2010,275487.0,32.64,-117.082,0.027749709677419354,39.85483870967742,0.8385752903225807,11.161290322580644,1.2367823870967742,3.096774193548387,21.352645435483872,36.403225806451616
Cicero,Illinois,IL,2000,85268.0,41.846,-87.754,0.01975182021676054,27.483838965693803,0.9789240363340587,14.95013440860215,5.726191418151561,23.91581967912613,28.319235408911503,45.10225294418843
Cicero,Illinois,IL,2001,85268.0,41.846,-87.754,0.023059783170122885,32.923435099846394,0.8572047442684332,12.630040322580644,4.5643238265841015,18.6534178187404,28.0349427000288,46.414986559139784
Cicero,Illinois,IL,2002,85268.0,41.846,-87.754,0.02373750031271129,37.41135057471264,0.8089132738505747,12.00720926301555,3.653166956355646,19.53044286680189,21.95026513449121,37.72642832995267
Cicero,Illinois,IL,2003,85268.0,41.846,-87.754,0.023057412903225806,32.943010752688174,0.6581485666666667,10.227150537634408,4.906525979704301,19.95537634408602,28.372932045967744,45.70900537634409
Cicero,Illinois,IL,2004,85268.0,41.846,-87.754,0.0232639743200506,31.66131404174573,0.872542796355155,12.633301707779886,5.428800543311196,26.32205091714105,23.572597281870653,40.42355313092979
Cicero,Illinois,IL,2005,85268.0,41.846,-87.754,0.026944411693548387,37.53024193548387,0.5052856565860215,8.268951612903226,4.36930693561828,23.40833333333333,22.514406742069895,42.86115591397849
Cicero,Illinois,IL,2006,85268.0,41.846,-87.754,0.021275031182795695,28.434005376344086,0.20141241680107527,3.877688172043011,3.9368932806451613,18.124059139784947,19.86941579045699,34.97083333333333
Cicero,Illinois,IL,2007,85268.0,41.846,-87.754,0.025427233102918584,34.0185291858679,0.3008317105990783,4.997033410138249,3.2954385805203534,13.475153609831029,21.687262857248463,38.1523425499232
Cicero,Illinois,IL,2008,85268.0,41.846,-87.754,0.02420285641396423,32.31523045549186,0.28516566118579045,5.0449130087561675,3.5098762896265794,13.672243161917802,18.71363379839587,33.5452047859445
Cicero,Illinois,IL,2009,85268.0,41.846,-87.754,0.02374079892473118,31.685215053763443,0.25206470376344087,4.256586021505377,4.035072331451612,16.56935483870968,18.241531291263442,31.975537634408603
Cicero,Illinois,IL,2010,85268.0,41.846,-87.754,0.028554454269184532,37.231027516195816,0.32234837025449975,5.008172877846791,4.254966569341231,12.919270436786215,16.860994876980314,31.80483127963668
Cicero,Illinois,IL,2011,85268.0,41.846,-87.754,0.02386705428253615,33.29857248794957,0.4006769710418984,6.453318502039303,5.192603965897293,14.063774564330739,20.05836212800797,36.114873007044864
Cicero,Illinois,IL,2012,85268.0,41.846,-87.754,0.03077657076204601,45.584653141939015,0.2871665593472465,4.342642618782775,0.9844660974164415,4.766071649275209,11.417006679505006,23.89292114695341
Cincinnati,Ohio,OH,2011,309317.0,39.105,-84.514,0.03114247530234242,45.560460448066266,0.263210404139869,3.794738458628453,3.952071944486468,21.57868153483618,12.937347580617603,23.03072867095436
Cincinnati,Ohio,OH,2012,309317.0,39.105,-84.514,0.018113253285543605,22.10394265232975,0.24174393309438472,3.462962962962963,4.000913296893668,23.005973715651134,13.831306662485066,22.45041816009558
Cincinnati,Ohio,OH,2013,309317.0,39.105,-84.514,0.029814200948766603,36.91967684434478,0.24338034996837443,3.346248059341039,2.4307880188718305,14.177879362888849,11.969826879529641,22.221948134092347
Cincinnati,Ohio,OH,2014,309317.0,39.105,-84.514,0.029032482061136382,35.789538214501135,0.24210201027730918,3.3252412405499165,1.968349168729915,11.328002739065958,11.451191467523193,21.36805341076754
Cincinnati,Ohio,OH,2015,309317.0,39.105,-84.514,0.02756995132179126,33.586637473687205,0.25258803028488935,3.4809506386186495,1.412023356679254,5.490695013369745,10.242719928958795,19.069529356545484
Cincinnati,Ohio,OH,2016,309317.0,39.105,-84.514,0.030084522637882943,38.59185076265934,0.23849364008327387,3.397583671126277,1.1247813929334598,3.349506976794972,9.51073665860237,18.3872002552265
Cincinnati,Ohio,OH,2017,309317.0,39.105,-84.514,0.030777268755753113,38.45397573669167,0.24599188130171057,3.586172244298998,1.1718388206293053,3.3915800253133703,8.403459673453582,17.59485573510001
Cincinnati,Ohio,OH,2018,309317.0,39.105,-84.514,0.029557503523286358,36.258212560386475,0.1944563356285759,2.7354675916649973,0.7290144768036632,2.2263598087668917,9.604117796436919,17.993760296311137
Cincinnati,Ohio,OH,2019,309317.0,39.105,-84.514,0.030964738022668827,38.51003290992332,0.1908082275183596,2.834564448535405,0.6525072542985572,2.5359817499415733,9.556734501915713,18.61003163425928
Cincinnati,Ohio,OH,2020,309317.0,39.105,-84.514,0.02838962640350294,34.512459797291804,0.24099664188991934,3.434598377108846,0.8253985221012939,2.364976556065511,8.54969091851465,16.729882733590284
Cincinnati,Ohio,OH,2021,309317.0,39.105,-84.514,0.030588459030266826,37.85431103146157,0.2020353325567503,3.0777976901632815,0.6192226836718439,2.6901334129828753,8.932220639755078,17.3476204699323
Cincinnati,Ohio,OH,2022,309317.0,39.105,-84.514,0.03157509428016726,37.722658872390056,0.11410459149385561,1.864955979404904,0.675802695804176,2.1881581754565627,8.564973029677278,16.486321257893838
Cincinnati,Ohio,OH,2023,309317.0,39.105,-84.514,0.037119830622032536,46.131354733975705,0.13670759580060396,2.0842453917050694,1.1804542629241725,1.583759251501187,8.315409073118715,17.76788027161011
Cleveland,Ohio,OH,2011,372624.0,41.5,-81.694,0.026032157498775573,32.672813007858586,0.29387008040445023,4.643764331351989,4.810891073217764,22.875125642823747,15.362463456205893,26.27770765155057
Cleveland,Ohio,OH,2012,372624.0,41.5,-81.694,0.026210064796643534,34.44417959990819,0.2804448670138337,4.206310141780109,3.0046635471508245,18.5602445177181,13.795697529754621,24.52134249695429
Cleveland,Ohio,OH,2013,372624.0,41.5,-81.694,0.02324161194316436,27.553507424475168,0.24425591943804403,3.602956989247312,2.2607542539298513,12.398278289810548,12.934453472420635,23.251990527393755
Cleveland,Ohio,OH,2014,372624.0,41.5,-81.694,0.024099252900055153,29.72766503929425,0.25280220008967685,3.979402206229802,2.4339956738820416,15.188851193431375,12.36519057683635,22.77228862787487
Cleveland,Ohio,OH,2015,372624.0,41.5,-81.694,0.025728727649107472,31.62599846390169,0.2730516680632802,4.267667779013719,2.4121305834798807,15.636404536786905,12.970308042351732,24.800998463901692
Cleveland,Ohio,OH,2016,372624.0,41.5,-81.694,0.026769211708114835,32.08701290675707,0.27065031734290307,4.086757552483359,1.4191048440337148,9.33623249819023,11.150504691332301,22.792985151049667
Cleveland,Ohio,OH,2017,372624.0,41.5,-81.694,0.02701739691809241,31.911989291452585,0.2687954128264209,4.119663824001978,0.772245377170401,6.08038528258912,11.34858113082967,22.095146282465524
Cleveland,Ohio,OH,2018,372624.0,41.5,-81.694,0.026227068445318427,31.253136509702134,0.2590433843570457,4.120788353902926,0.7110053013446157,4.41140895086251,11.303205591235896,21.74495382876918
Cleveland,Ohio,OH,2019,372624.0,41.5,-81.694,0.028530566997384335,33.65419320359532,0.24656595702502138,3.8396912520800175,0.41509415102771025,2.625166510970182,10.024851724026272,19.710081935429546
Cleveland,Ohio,OH,2020,372624.0,41.5,-81.694,0.028303264814989865,33.31926868616034,0.2028977946246696,2.9868347198590346,0.3599974525840239,2.4352636456698336,7.5420085319774195,15.7797110944772
Cleveland,Ohio,OH,2021,372624.0,41.5,-81.694,0.026827538248847926,31.388042754736304,0.2319146681285202,3.7425716845878134,0.5927729798419099,2.9119118023553505,8.478408826330005,18.556426011264723
Cleveland,Ohio,OH,2022,372624.0,41.5,-81.694,0.02757207135470877,31.953093199555173,0.24264020595650723,3.6057765725829314,0.42334618606034974,1.8270088964930273,10.289957576423264,20.17985722314157
Cleveland,Ohio,OH,2023,372624.0,41.5,-81.694,0.03360314886164635,39.64090168239795,0.2367773867119557,3.7533864748089707,0.48578214986229584,2.7618427751009706,9.54404201867864,21.009786088004127
Concord,California,CA,2000,125410.0,37.977,-122.034,0.021976244875307267,31.811431769181123,0.6814742451060164,10.882392988093768,1.570894608482333,5.162729850725772,16.011211581380206,26.43983713041926
Concord,California,CA,2001,125410.0,37.977,-122.034,0.023475884114183304,34.485010240655406,0.5653179076228879,9.142217101894522,1.1454390595046082,4.719822068612391,15.433811814957757,26.123284690220174
Concord,California,CA,2002,125410.0,37.977,-122.034,0.024739117684331794,35.43044034818228,0.5089481075524834,8.324129544290834,0.7668114600038402,4.884626216077829,14.691790365866616,24.592191500256018
Concord,California,CA,2003,125410.0,37.977,-122.034,0.02428015705766548,34.853457324717056,0.5078975611649629,8.001787479915956,0.5966285916503345,3.87737830393559,13.415328225255356,23.09694148701379
Concord,California,CA,2004,125410.0,37.977,-122.034,0.02368629108691268,33.04410085279941,0.4683156924715571,7.214567648264153,1.0377792914269592,4.547224759154096,12.416471106479454,21.565265532202773
Concord,California,CA,2005,125410.0,37.977,-122.034,0.024150220052483354,32.94144905273937,0.435492625422427,6.562192780337941,0.9531125366807475,4.162928827444957,11.586994633960574,20.195628520225295
Concord,California,CA,2006,125410.0,37.977,-122.034,0.0275423871031746,38.70666282642089,0.39362074606374803,5.716801075268816,0.7656338597158219,4.30013440860215,10.824139136123913,19.58663594470046
Concord,California,CA,2007,125410.0,37.977,-122.034,0.025371093049155146,34.16552099334357,0.36289788650153615,5.247676651305684,0.6905850352982591,3.7739695340501793,10.67328691952765,18.78604710701485
Concord,California,CA,2008,125410.0,37.977,-122.034,0.02763979640650105,37.92943702879743,0.36779063593807937,5.285678531701891,0.803240464896181,3.384856630824373,10.18817684790508,18.376455320726734
Concord,California,CA,2009,125410.0,37.977,-122.034,0.024886942799539166,33.35983102918587,0.3132856137096774,4.484146185355863,0.5682748271185356,2.7218958013312853,9.292494206803635,16.840476190476192
Concord,California,CA,2010,125410.0,37.977,-122.034,0.024081005295235446,31.1433093649028,0.3197762275277204,4.2976162888217955,0.4439146554581148,1.9095144296131503,8.317728021894256,15.007569587901903
Concord,California,CA,2011,125410.0,37.977,-122.034,0.02410496999487967,31.70730926779314,0.3486850278737839,4.872126216077829,0.5971503663722478,1.5796082949308756,8.797045109863031,15.539183307731696
Concord,California,CA,2012,125410.0,37.977,-122.034,0.02669674891546162,35.39951180323816,0.3238692115653195,4.4615993078729455,0.3097347720275615,1.2170652576937337,8.353892197398343,14.981232233345693
Concord,California,CA,2013,125410.0,37.977,-122.034,0.02256354005376344,29.567997951868918,0.3386494617063492,4.632373271889401,0.43039296586661546,1.3328853046594984,9.143977696742192,15.741724270353302
Concord,California,CA,2014,125410.0,37.977,-122.034,0.02671330237455197,34.928878648233486,0.3446430063172043,4.798553507424475,0.4472632348054275,1.6178699436763955,7.535955466033026,13.521255760368662
