City,State_Abbre,Type,Population,Latitude,Longitude
Toccoa,GA,City,9133,34.581,-83.326
Townsend,MA,Town,9127,42.665,-71.703
Booneville,MS,City,9126,34.664,-88.568
Westampton,NJ,Township,9121,40.019,-74.81
Perkasie,PA,Borough,9120,40.372,-75.293
Waterford,CA,City,9120,37.643,-120.754
Harahan,LA,City,9116,29.936,-90.203
Lynwood,IL,Village,9116,41.522,-87.548
York,MI,Charter Township,9108,42.127,-83.727
Canal Winchester,OH,City,9107,39.84,-82.816
Chillicothe,MO,City,9107,39.795,-93.549
Live Oak,CA,City,9106,39.274,-121.665
Benton Harbor,MI,City,9103,42.117,-86.454
Economy,PA,Borough,9098,40.643,-80.186
Hebron,CT,Town,9098,41.651,-72.378
Weare,NH,Town,9092,43.081,-71.722
Commerce,TX,City,9090,33.241,-95.9
Orange Park,FL,Town,9089,30.171,-81.705
Hooper,UT,City,9087,41.164,-112.345
Woodbridge,CT,Town,9087,41.355,-73.012
Harwood Heights,IL,Village,9065,41.966,-87.806
Harrodsburg,KY,City,9064,37.766,-84.847
Hawthorn Woods,IL,Village,9062,42.244,-88.066
Springfield,VT,Town,9062,43.288,-72.488
Craig,CO,City,9060,40.517,-107.556
Tuscumbia,AL,City,9054,34.719,-87.703
Wasilla,AK,City,9054,61.582,-149.441
Haledon,NJ,Borough,9052,40.937,-74.189
Rutland,MA,Town,9049,42.386,-71.972
Lake Park,FL,Town,9047,26.8,-80.069
Davenport,FL,City,9043,28.161,-81.611
Orting,WA,City,9041,47.097,-122.212
Rice Lake,WI,City,9040,45.482,-91.746
Delta,CO,City,9035,38.76,-108.078
Helotes,TX,City,9030,29.569,-98.694
Caldwell,NJ,Borough,9027,40.839,-74.277
Lapeer,MI,City,9023,43.045,-83.327
Indian Harbour Beach,FL,City,9019,28.156,-80.599
Newark,NY,Village,9017,43.042,-77.094
Fitzgerald,GA,City,9006,31.714,-83.252
Beaver Falls,PA,City,9005,40.759,-80.323
Winslow,AZ,City,9005,35.025,-110.709
Hampstead,NH,Town,8998,42.879,-71.175
Cloverdale,CA,City,8996,38.798,-123.017
McFarland,WI,Village,8991,43.02,-89.292
Yarmouth,ME,Town,8990,43.807,-70.181
Ladue,MO,City,8989,38.638,-90.381
Pulaski,VA,Town,8985,37.053,-80.762
Douglas,MA,Town,8983,42.049,-71.737
Ivins,UT,City,8978,37.175,-113.681
Bernalillo,NM,Town,8977,35.312,-106.554
Highland Park,MI,City,8977,42.404,-83.102
Ahuimanu,HI,Census-Designated Place,8969,21.438,-157.84
Old Orchard Beach,ME,Town,8960,43.522,-70.393
Sheffield Lake,OH,City,8957,41.488,-82.098
Hope,AR,City,8952,33.668,-93.591
Saline,MI,City,8948,42.174,-83.777
Locust Grove,GA,City,8947,33.343,-84.104
Brownfield,TX,City,8936,33.176,-102.273
Oakland,TN,Town,8936,35.225,-89.538
Plymouth,WI,City,8932,43.745,-87.965
Edgewater Park,NJ,Township,8930,40.05,-74.917
Oak Grove,MN,City,8929,45.342,-93.322
Purcellville,VA,Town,8929,39.137,-77.711
North Haledon,NJ,Borough,8927,40.964,-74.185
Gibsonville,NC,Town,8920,36.098,-79.542
Collingdale,PA,Borough,8908,39.915,-75.278
Monmouth,IL,City,8902,40.914,-90.641
Mansfield,NJ,Township,8897,40.085,-74.715
Lago Vista,TX,City,8896,30.448,-97.991
Brooksville,FL,City,8890,28.513,-82.406
Park Ridge,NJ,Borough,8883,41.036,-74.044
Blanchard,OK,City,8879,35.155,-97.657
St Pete Beach,FL,City,8879,27.736,-82.751
East Haddam,CT,Town,8875,41.477,-72.394
Maysville,KY,City,8873,38.655,-83.793
Highland Park,TX,Town,8864,32.831,-96.801
Napoleon,OH,City,8862,41.398,-84.125
Savoy,IL,Village,8857,40.06,-88.255
Toppenish,WA,City,8854,46.381,-120.312
Signal Mountain,TN,Town,8852,35.142,-85.346
Seneca,SC,City,8850,34.681,-82.966
Glencoe,IL,Village,8849,42.134,-87.763
Sanger,TX,City,8839,33.383,-97.165
Carbondale,PA,City,8828,41.571,-75.505
Coffeyville,KS,City,8826,37.041,-95.63
Greenville,MI,City,8816,43.18,-85.254
Boonton,NJ,Town,8815,40.904,-74.406
Clayton,NJ,Borough,8807,39.664,-75.078
Poteau,OK,City,8807,35.043,-94.635
Andalusia,AL,City,8805,31.309,-86.478
Tallmadge,MI,Charter Township,8802,42.989,-85.831
Presque Isle,ME,City,8797,46.68,-68.016
Rock Falls,IL,City,8789,41.773,-89.691
Pennfield,MI,Charter Township,8781,42.38,-85.104
Fort Valley,GA,City,8780,32.551,-83.88
Jeannette,PA,City,8780,40.328,-79.614
Pitman,NJ,Borough,8780,39.733,-75.131
Bogota,NJ,Borough,8778,40.874,-74.03
Dayton,TX,City,8777,30.037,-94.899
Pittsgrove,NJ,Township,8777,39.545,-75.127
Pleasant Hill,MO,City,8777,38.806,-94.272
Hoquiam,WA,City,8776,46.976,-123.911
Lopatcong,NJ,Township,8776,40.707,-75.152
Port Jervis,NY,City,8775,41.378,-74.695
Clanton,AL,City,8768,32.842,-86.623
Bath,ME,City,8766,43.911,-69.816
Cortez,CO,City,8766,37.35,-108.577
Redding,CT,Town,8765,41.303,-73.397
Wyoming,OH,City,8756,39.229,-84.481
Mascoutah,IL,City,8754,38.518,-89.8
Windsor,WI,Village,8754,43.253,-89.319
Thief River Falls,MN,City,8749,48.114,-96.176
Franklin,NH,City,8741,43.448,-71.668
Lake Villa,IL,Village,8741,42.418,-88.083
Freeport,ME,Town,8737,43.878,-70.098
Graham,TX,City,8732,33.101,-98.578
Bryan,OH,City,8729,41.471,-84.549
Chanute,KS,City,8722,37.67,-95.464
Highland Heights,OH,City,8719,41.552,-81.469
Audubon,NJ,Borough,8707,39.89,-75.072
Socorro,NM,City,8707,34.055,-106.906
Clarendon Hills,IL,Village,8702,41.798,-87.957
Fort Mitchell,KY,City,8702,39.046,-84.556
Olney,IL,City,8701,38.729,-88.084
Milton,WA,City,8697,47.252,-122.313
Anthony,NM,City,8693,32.013,-106.605
Wesley Chapel,NC,Village,8681,35.006,-80.693
Tecumseh,MI,City,8680,42.006,-83.944
Lamesa,TX,City,8674,32.733,-101.955
Covington,TN,City,8663,35.565,-89.648
Glenwood,IL,Village,8662,41.541,-87.611
Cheviot,OH,City,8658,39.158,-84.614
Gonzales,CA,City,8647,36.506,-121.443
Sandpoint,ID,City,8639,48.281,-116.56
Carneys Point,NJ,Township,8637,39.696,-75.445
Long Hill,NJ,Township,8629,40.686,-74.486
Oxford,NC,City,8628,36.316,-78.586
Wharton,TX,City,8627,29.314,-96.104
Monona,WI,City,8624,43.054,-89.334
Swissvale,PA,Borough,8624,40.42,-79.886
Hillview,KY,City,8622,38.035,-85.67
Richland Hills,TX,City,8621,32.81,-97.227
Skowhegan,ME,Town,8620,44.756,-69.662
Baxter,MN,City,8612,46.337,-94.283
Haiku Pauwela,HI,Census-Designated Place,8595,20.921,-156.302
Closter,NJ,Borough,8594,40.973,-73.96
Hastings on Hudson,NY,Village,8590,40.988,-73.881
Park Hills,MO,City,8587,37.822,-90.511
West Long Branch,NJ,Borough,8587,40.288,-74.02
Olmsted Falls,OH,City,8582,41.366,-81.904
Montague,MA,Town,8580,42.547,-72.519
Lewistown,PA,Borough,8579,40.597,-77.572
Westwego,LA,City,8568,29.905,-90.144
Gering,NE,City,8564,41.826,-103.66
Malverne,NY,Village,8560,40.675,-73.672
Oberlin,OH,City,8555,41.286,-82.219
Perryville,MO,City,8555,37.725,-89.876
Guntersville,AL,City,8553,34.369,-86.252
Center Line,MI,City,8552,42.481,-83.027
Othello,WA,City,8549,46.823,-119.165
Independence,KS,City,8548,37.233,-95.714
Taft,CA,City,8546,35.127,-119.424
Smithfield,VA,Town,8533,36.972,-76.613
Sutherlin,OR,City,8524,43.389,-123.322
Clinton,OK,City,8521,35.506,-98.974
Kennedale,TX,City,8517,32.644,-97.217
Aberdeen,NC,Town,8516,35.134,-79.431
Cameron,MO,City,8513,39.748,-94.237
Sallisaw,OK,City,8510,35.462,-94.805
Delavan,WI,City,8505,42.629,-88.632
Olivette,MO,City,8504,38.672,-90.378
Pleasant Hills,PA,Borough,8504,40.33,-79.96
McCordsville,IN,Town,8503,39.905,-85.928
York,SC,City,8503,34.996,-81.236
Old Forge,PA,Borough,8497,41.37,-75.741
Corrales,NM,Village,8493,35.24,-106.627
Perryton,TX,City,8492,36.394,-100.797
Barre,VT,City,8491,44.201,-72.506
Los Altos Hills,CA,Town,8489,37.367,-122.139
Menominee,MI,City,8488,45.122,-87.624
Ayer,MA,Town,8479,42.564,-71.589
Litchfield,NH,Town,8478,42.839,-71.456
Ephrata,WA,City,8477,47.313,-119.535
Cumberland,ME,Town,8473,43.809,-70.286
Georgetown,MA,Town,8470,42.724,-70.977
Farmingdale,NY,Village,8466,40.733,-73.446
Fort Stockton,TX,City,8466,30.893,-102.886
Crete,IL,Village,8465,41.441,-87.624
Arab,AL,City,8461,34.33,-86.501
Lancaster,SC,City,8460,34.724,-80.779
Millis,MA,Town,8460,42.168,-71.363
Sitka,AK,City and Borough,8458,57.05,-135.335
Haddam,CT,Town,8452,41.466,-72.548
Orrville,OH,City,8452,40.849,-81.777
Brooklyn,CT,Town,8450,41.788,-71.95
Skiatook,OK,Town,8450,36.37,-96.018
Dalhart,TX,City,8447,36.057,-102.512
Dunn,NC,City,8446,35.311,-78.614
Monticello,AR,City,8442,33.625,-91.794
Lancaster,MA,Town,8441,42.486,-71.682
Madison,MI,Charter Township,8439,41.85,-84.077
Beebe,AR,City,8437,35.072,-91.901
Montvale,NJ,Borough,8436,41.055,-74.047
Edgewood,KY,City,8435,39.009,-84.56
Northfield,NJ,City,8434,39.371,-74.555
Winnemucca,NV,City,8431,40.964,-117.725
Warrenton,MO,City,8429,38.819,-91.135
Kenilworth,NJ,Borough,8427,40.677,-74.289
Black Mountain,NC,Town,8426,35.615,-82.328
Conover,NC,City,8421,35.715,-81.217
Virginia,MN,City,8421,47.514,-92.519
Jefferson City,TN,City,8419,36.12,-83.483
Elwood,IN,City,8410,40.275,-85.837
Georgetown,SC,City,8403,33.372,-79.281
Somers,WI,Village,8402,42.639,-87.91
Seabrook,NH,Town,8401,42.883,-70.852
Ellsworth,ME,City,8399,44.543,-68.42
Hopkinton,RI,Town,8398,41.483,-71.756
Butner,NC,Town,8397,36.13,-78.745
Pulaski,TN,City,8397,35.193,-87.035
St Marys,OH,City,8397,40.548,-84.394
Oak Island,NC,Town,8396,33.93,-78.08
Park City,UT,City,8396,40.645,-111.505
Atmore,AL,City,8391,31.131,-87.459
Houghton,MI,City,8386,47.11,-88.569
Milliken,CO,Town,8386,40.31,-104.855
Clinton,NC,City,8383,35.0,-78.332
Cohasset,MA,Town,8381,42.235,-70.818
Abingdon,VA,Town,8376,36.709,-81.971
Buxton,ME,Town,8376,43.652,-70.538
Eaton,OH,City,8375,39.75,-84.634
Newton,NJ,Town,8374,41.053,-74.755
Denison,IA,City,8373,42.016,-95.352
Hampton,GA,City,8368,33.386,-84.294
Gilberts,IL,Village,8366,42.109,-88.372
Long Grove,IL,Village,8366,42.195,-88.01
Miles City,MT,City,8354,46.408,-105.844
Senatobia,MS,City,8354,34.609,-89.981
Kronenwetter,WI,Village,8353,44.821,-89.589
Upper Saddle River,NJ,Borough,8353,41.063,-74.1
Hollis,NH,Town,8342,42.749,-71.589
Waite Park,MN,City,8341,45.52,-94.243
Jerseyville,IL,City,8337,39.118,-90.327
Mount Rainier,MD,City,8333,38.943,-76.964
Park City,KS,City,8333,37.807,-97.325
Trinidad,CO,City,8329,37.174,-104.491
Croton on Hudson,NY,Village,8327,41.21,-73.901
Cushing,OK,City,8327,35.979,-96.76
Fruitland Park,FL,City,8325,28.859,-81.921
Mount Joy,PA,Borough,8325,40.111,-76.506
Runnemede,NJ,Borough,8324,39.852,-75.075
Hillside,IL,Village,8320,41.867,-87.902
Orono,MN,City,8315,44.961,-93.588
Wynne,AR,City,8314,35.233,-90.789
Hood River,OR,City,8313,45.709,-121.526
Potsdam,NY,Village,8312,44.669,-74.986
Bellevue,PA,Borough,8311,40.494,-80.055
Princeton,IN,City,8301,38.355,-87.578
Brookhaven,PA,Borough,8300,39.871,-75.391
Doylestown,PA,Borough,8300,40.314,-75.128
Pukalani,HI,Census-Designated Place,8299,20.834,-156.343
Orland,CA,City,8298,39.746,-122.185
Altoona,WI,City,8293,44.8,-91.44
Paris,IL,City,8291,39.614,-87.689
Hondo,TX,City,8289,29.354,-99.162
Rhinelander,WI,City,8285,45.636,-89.426
Mason,MI,City,8283,42.581,-84.442
Rolling Hills Estates,CA,City,8280,33.781,-118.325
Liberty,TX,City,8279,30.049,-94.791
Lake Geneva,WI,City,8277,42.583,-88.428
Bedminster,NJ,Township,8272,40.665,-74.678
Gray,ME,Town,8269,43.888,-70.349
Maplewood,MO,City,8269,38.612,-90.324
Wytheville,VA,Town,8265,36.953,-81.088
Stuttgart,AR,City,8264,34.496,-91.548
Hornell,NY,City,8263,42.326,-77.66
Bel Aire,KS,City,8262,37.775,-97.246
Minnetrista,MN,City,8262,44.938,-93.712
Mukwonago,WI,Village,8262,42.855,-88.324
Wilson,PA,Borough,8259,40.684,-75.242
Whitehouse,TX,City,8257,32.223,-95.222
Bellevue,OH,City,8249,41.274,-82.84
Castle Shannon,PA,Borough,8249,40.366,-80.019
Corning,CA,City,8244,39.928,-122.182
Dormont,PA,Borough,8244,40.394,-80.038
Oradell,NJ,Borough,8244,40.957,-74.033
Stayton,OR,City,8244,44.806,-122.8
Hatboro,PA,Borough,8238,40.177,-75.106
Brentwood,MO,City,8233,38.619,-90.348
Bow,NH,Town,8229,43.128,-71.525
Sioux Center,IA,City,8229,43.075,-96.171
Berkeley,MO,City,8228,38.743,-90.336
Centerville,GA,City,8228,32.633,-83.686
Hillsboro,TX,City,8221,32.008,-97.115
Maryville,IL,Village,8221,38.727,-89.966
Rawlins,WY,City,8221,41.791,-107.239
Woodstock,CT,Town,8221,41.971,-72.023
Harrisburg,IL,City,8219,37.738,-88.546
Providence,UT,City,8218,41.703,-111.812
Price,UT,City,8216,39.604,-110.8
Westminster,MA,Town,8213,42.542,-71.909
Nevada,MO,City,8212,37.845,-94.35
Sheboygan Falls,WI,City,8210,43.729,-87.826
Johnstown,NY,City,8204,43.007,-74.375
Boxford,MA,Town,8203,42.667,-71.001
Richfield,UT,City,8201,38.763,-112.093
Ketchikan,AK,City,8192,55.341,-131.645
Litchfield,CT,Town,8192,41.75,-73.213
Prairie View,TX,City,8184,30.086,-95.991
Brazil,IN,City,8181,39.523,-87.125
Franklin,VA,City,8180,36.684,-76.941
Oak Hill,WV,City,8179,37.985,-81.151
Union,SC,City,8174,34.724,-81.625
Milan,TN,City,8171,35.912,-88.754
Adams,MA,Town,8166,42.627,-73.119
Oak Brook,IL,Village,8163,41.837,-87.953
Spotswood,NJ,Borough,8163,40.396,-74.39
New Prague,MN,City,8162,44.546,-93.576
North Bay Village,FL,City,8159,25.849,-80.15
Oak Grove,MO,City,8157,39.007,-94.128
Iowa Colony,TX,Village,8154,29.441,-95.418
Selah,WA,City,8153,46.647,-120.539
Alliance,NE,City,8151,42.097,-102.871
Monson,MA,Town,8150,42.089,-72.323
Templeton,MA,Town,8149,42.573,-72.078
Carl Junction,MO,City,8143,37.164,-94.542
Kirby,TX,City,8142,29.461,-98.386
St Francis,MN,City,8142,45.396,-93.386
Mahtomedi,MN,City,8138,45.07,-92.96
Carnegie,PA,Borough,8134,40.408,-80.086
Roxboro,NC,City,8134,36.389,-78.981
Camp Hill,PA,Borough,8130,40.242,-76.927
Cuero,TX,City,8128,29.094,-97.288
Payette,ID,City,8127,44.08,-116.927
Hardyston,NJ,Township,8125,41.105,-74.539
Scott,LA,City,8119,30.24,-92.095
Los Fresnos,TX,City,8114,26.073,-97.475
Lock Haven,PA,City,8108,41.137,-77.452
Bay Minette,AL,City,8107,30.883,-87.778
Dighton,MA,Town,8101,41.838,-71.15
Antigo,WI,City,8100,45.141,-89.155
Firebaugh,CA,City,8096,36.854,-120.454
Orange Beach,AL,City,8095,30.294,-87.587
Moundsville,WV,City,8093,39.922,-80.742
Lochbuie,CO,Town,8088,40.011,-104.727
Grandview Heights,OH,City,8085,39.979,-83.04
Springfield,FL,City,8075,30.171,-85.612
Montpelier,VT,City,8074,44.26,-72.575
Pismo Beach,CA,City,8072,35.153,-120.674
Plumsted,NJ,Township,8072,40.061,-74.493
York,NE,City,8066,40.867,-97.592
Latrobe,PA,Borough,8060,40.312,-79.383
Vinton,VA,Town,8059,37.274,-79.888
Guadalupe,CA,City,8057,34.962,-120.573
Island Lake,IL,Village,8051,42.279,-88.199
Butler,NJ,Borough,8047,40.998,-74.349
Gypsum,CO,Town,8040,39.638,-106.961
Livingston,MT,City,8040,45.661,-110.558
Hillsdale,MI,City,8036,41.928,-84.637
Duvall,WA,City,8034,47.735,-121.972
Wyoming,MN,City,8032,45.34,-92.968
Westlake Village,CA,City,8029,34.137,-118.817
Byram,NJ,Township,8028,40.95,-74.72
Sequim,WA,City,8024,48.075,-123.096
Richmond,RI,Town,8020,41.503,-71.652
Scappoose,OR,City,8010,45.757,-122.877
Wahpeton,ND,City,8007,46.264,-96.606
Newport,AR,City,8005,35.627,-91.235
Lihue,HI,Census-Designated Place,8004,21.971,-159.353
Riverside,NJ,Township,8003,40.035,-74.958
Silvis,IL,City,8003,41.498,-90.411
Upton,MA,Town,8000,42.17,-71.603
Broadview,IL,Village,7998,41.858,-87.856
Charlestown,RI,Town,7997,41.395,-71.668
Winooski,VT,City,7997,44.494,-73.187
South Beloit,IL,City,7989,42.481,-89.029
Fletcher,NC,Town,7987,35.433,-82.507
Sterling,MA,Town,7985,42.441,-71.767
Three Rivers,MI,City,7973,41.945,-85.631
Quincy,FL,City,7970,30.579,-84.584
South Boston,VA,Town,7966,36.712,-78.913
Boonville,MO,City,7964,38.956,-92.751
North Hanover,NJ,Township,7963,40.077,-74.586
Port Jefferson,NY,Village,7962,40.942,-73.053
Seaford,DE,City,7957,38.657,-75.613
Lexington,TN,City,7956,35.655,-88.411
Fort Lupton,CO,City,7955,40.085,-104.794
Spring Hill,KS,City,7952,38.757,-94.821
Berwick,ME,Town,7950,43.307,-70.851
Winslow,ME,Town,7948,44.529,-69.578
Kenton,OH,City,7947,40.645,-83.61
Aransas Pass,TX,City,7941,27.89,-97.118
Lincolnshire,IL,Village,7940,42.197,-87.918
Waterboro,ME,Town,7936,43.589,-70.722
Woodfin,NC,Town,7936,35.648,-82.592
Oak Grove,KY,City,7931,36.674,-87.423
Dexter,MO,City,7927,36.793,-89.963
Jersey Village,TX,City,7921,29.892,-95.568
Woodland Park,CO,City,7920,38.999,-105.059
Ashland,WI,City,7908,46.582,-90.871
Millersville,PA,Borough,7903,40.005,-76.352
Baldwinsville,NY,Village,7898,43.156,-76.331
Albertville,MN,City,7896,45.236,-93.663
Bernardsville,NJ,Borough,7893,40.73,-74.593
Sunnyvale,TX,Town,7893,32.8,-96.559
Downingtown,PA,Borough,7892,40.008,-75.702
Joshua,TX,City,7891,32.461,-97.383
Park City,IL,City,7885,42.354,-87.892
Collinsville,OK,City,7881,36.371,-95.835
West Boylston,MA,Town,7877,42.372,-71.786
Humboldt,TN,City,7874,35.825,-88.904
Fairfield,NJ,Township,7872,40.884,-74.309
Grove City,PA,Borough,7871,41.157,-80.089
South Weber,UT,City,7867,41.135,-111.942
Ripon,WI,City,7863,43.844,-88.838
Rockton,IL,Village,7863,42.451,-89.064
Corbin,KY,City,7856,36.933,-84.099
Campbell,OH,City,7852,41.078,-80.59
Bradford,PA,City,7849,41.961,-78.641
Bonner Springs,KS,City,7837,39.075,-94.872
Monahans,TX,City,7836,31.672,-103.083
Perry,IA,City,7836,41.841,-94.098
Plain City,UT,City,7833,41.308,-112.094
Princeton,IL,City,7832,41.38,-89.467
Palmyra,PA,Borough,7830,40.31,-76.594
Plaistow,NH,Town,7830,42.832,-71.093
Ewa Villages,HI,Census-Designated Place,7825,21.342,-158.039
Webster City,IA,City,7825,42.462,-93.816
Ponchatoula,LA,City,7822,30.441,-90.443
Yreka,CA,City,7807,41.724,-122.632
Glen Ridge,NJ,Borough,7802,40.805,-74.205
Ripley,TN,City,7800,35.746,-89.534
Jefferson,WI,City,7793,43.004,-88.808
Blair,NE,City,7790,41.544,-96.136
Camden,SC,City,7788,34.256,-80.609
Travelers Rest,SC,City,7788,34.968,-82.441
Grand Ledge,MI,City,7784,42.753,-84.741
Shorewood,MN,City,7783,44.92,-93.566
Colonie,NY,Village,7781,42.721,-73.832
Bloomingdale,NJ,Borough,7777,41.035,-74.334
Charlestown,IN,City,7775,38.428,-85.672
Fanwood,NJ,Borough,7774,40.642,-74.386
Brunswick,MD,City,7762,39.318,-77.625
Mount Horeb,WI,Village,7754,43.006,-89.731
Pikeville,KY,City,7754,37.48,-82.527
Whitefish,MT,City,7751,48.445,-114.361
Halifax,MA,Town,7749,41.988,-70.87
Brevard,NC,City,7744,35.244,-82.726
Big Rapids,MI,City,7727,43.699,-85.48
Hales Corners,WI,Village,7720,42.941,-88.049
Marion,NC,City,7717,35.678,-82.0
Shelburne,VT,Town,7717,44.396,-73.259
Brigantine,NJ,City,7716,39.427,-74.39
Wellington,KS,City,7715,37.283,-97.39
Austell,GA,City,7713,33.82,-84.644
Chester,NJ,Township,7713,40.754,-74.692
Fairlawn,OH,City,7710,41.131,-81.622
Hampden,ME,Town,7709,44.73,-68.897
Lake Dallas,TX,City,7708,33.128,-97.023
West Bridgewater,MA,Town,7707,42.018,-71.033
Stanwood,WA,City,7705,48.245,-122.342
Siler City,NC,Town,7702,35.724,-79.456
Albion,MI,City,7700,42.248,-84.759
Canfield,OH,City,7699,41.03,-80.767
Gilford,NH,Town,7699,43.55,-71.383
St Johns,MI,City,7698,43.001,-84.556
Farr West,UT,City,7691,41.301,-112.032
Providence Village,TX,Town,7691,33.232,-96.963
Clear Lake,IA,City,7687,43.135,-93.374
Lamar,CO,City,7687,38.08,-102.618
West Dundee,IL,Village,7686,42.111,-88.345
Severance,CO,Town,7683,40.539,-104.87
Round Lake Park,IL,Village,7680,42.349,-88.079
Ruidoso,NM,Village,7679,33.346,-105.668
Stratham,NH,Town,7669,43.016,-70.9
Hampshire,IL,Village,7667,42.116,-88.505
Buena Vista,MI,Charter Township,7664,43.438,-83.86
Tyrone,GA,Town,7658,33.476,-84.595
Kill Devil Hills,NC,Town,7656,36.018,-75.672
Ludington,MI,City,7655,43.957,-86.443
Mont Belvieu,TX,City,7654,29.853,-94.881
Emmett,ID,City,7647,43.868,-116.489
Ilion,NY,Village,7646,43.011,-75.04
River Oaks,TX,City,7646,32.777,-97.398
Upper Deerfield,NJ,Township,7645,39.498,-75.216
Navasota,TX,City,7643,30.389,-96.089
Seward,NE,City,7643,40.909,-97.096
Ellwood City,PA,Borough,7642,40.862,-80.283
Dunellen,NJ,Borough,7637,40.59,-74.466
Ojai,CA,City,7637,34.448,-119.247
Hubbard,OH,City,7636,41.159,-80.568
Clinton,SC,City,7633,34.479,-81.862
White Oak,PA,Borough,7630,40.339,-79.796
Hudsonville,MI,City,7629,42.863,-85.862
Old Lyme,CT,Town,7628,41.32,-72.303
New Albany,MS,City,7626,34.492,-89.022
Wagoner,OK,City,7621,35.964,-95.38
Inverness,IL,Village,7616,42.115,-88.101
Lucas,TX,City,7612,33.101,-96.58
Southwest Ranches,FL,Town,7607,26.05,-80.374
Easton,CT,Town,7605,41.259,-73.304
Fairfax,CA,Town,7605,37.988,-122.595
Knoxville,IA,City,7595,41.319,-93.102
Farmington,ME,Town,7592,44.675,-70.139
Pittston,PA,City,7591,41.328,-75.786
Williston Park,NY,Village,7591,40.759,-73.647
Decorah,IA,City,7587,43.302,-91.785
Cotati,CA,City,7584,38.328,-122.71
Farmington,AR,City,7584,36.037,-94.252
Independence,OH,City,7584,41.38,-81.633
Hickam Housing,HI,Census-Designated Place,7581,21.331,-157.954
Geneseo,NY,Village,7574,42.799,-77.81
Middlebury,CT,Town,7574,41.528,-73.124
London,KY,City,7572,37.121,-84.081
Briarcliff Manor,NY,Village,7569,41.14,-73.848
Orange,MA,Town,7569,42.582,-72.311
Marengo,IL,City,7568,42.247,-88.606
Wauseon,OH,City,7568,41.553,-84.14
Ashland,VA,Town,7565,37.76,-77.471
Hamilton,MA,Town,7561,42.622,-70.845
Mount Sterling,KY,City,7558,38.065,-83.949
Santa Clara,UT,City,7553,37.131,-113.657
Fort Scott,KS,City,7552,37.831,-94.704
Lander,WY,City,7546,42.833,-108.731
Inverness,FL,City,7543,28.84,-82.344
Quincy,WA,City,7543,47.234,-119.851
Dahlonega,GA,City,7537,34.53,-83.98
Creston,IA,City,7536,41.06,-94.365
Batesville,MS,City,7523,34.321,-89.925
Sebastopol,CA,City,7521,38.4,-122.828
Iron Mountain,MI,City,7518,45.828,-88.061
Hastings,MI,City,7514,42.65,-85.288
Breaux Bridge,LA,City,7513,30.283,-91.906
Pleasantville,NY,Village,7513,41.134,-73.784
Williamstown,MA,Town,7513,42.686,-73.23
Eagle,CO,Town,7511,39.634,-106.817
DuBois,PA,City,7510,41.122,-78.756
Waikele,HI,Census-Designated Place,7509,21.403,-158.006
New Cumberland,PA,Borough,7507,40.229,-76.878
Tell City,IN,City,7506,37.953,-86.759
Longboat Key,FL,Town,7505,27.396,-82.643
Auburn,GA,City,7495,34.016,-83.831
Haddon Heights,NJ,Borough,7495,39.879,-75.066
Berlin,NJ,Borough,7489,39.792,-74.937
Thompsons Station,TN,Town,7485,35.808,-86.9
Crookston,MN,City,7482,47.775,-96.606
Great Neck Plaza,NY,Village,7482,40.787,-73.726
Hughson,CA,City,7481,37.6,-120.866
Dunbar,WV,City,7480,38.37,-81.736
Oak Ridge,NC,Town,7474,36.174,-79.992
Wickenburg,AZ,Town,7474,33.97,-112.753
Farmville,VA,Town,7473,37.297,-78.399
Hardeeville,SC,City,7473,32.295,-81.041
Escalon,CA,City,7472,37.792,-121.0
Cleveland,TX,City,7471,30.339,-95.1
South Berwick,ME,Town,7467,43.242,-70.744
North Bend,WA,City,7461,47.49,-121.774
Clayton,MI,Charter Township,7460,43.001,-83.879
Marshfield,MO,City,7458,37.341,-92.911
Vandalia,IL,City,7458,38.975,-89.111
Madras,OR,City,7456,44.638,-121.127
Brighton,MI,City,7446,42.53,-83.785
Hartsville,SC,City,7446,34.363,-80.082
McCook,NE,City,7446,40.199,-100.626
Thomaston,CT,Town,7442,41.674,-73.084
Catoosa,OK,City,7440,36.182,-95.772
Page,AZ,City,7440,36.903,-111.461
Chehalis,WA,City,7439,46.664,-122.965
Palmyra,NJ,Borough,7438,40.003,-75.035
Old Town,ME,City,7431,44.934,-68.645
Shirley,MA,Town,7431,42.571,-71.644
La Follette,TN,City,7430,36.372,-84.125
Hudson Falls,NY,Village,7427,43.305,-73.582
North Riverside,IL,Village,7426,41.846,-87.826
Swainsboro,GA,City,7425,32.586,-82.335
Kenai,AK,City,7424,60.555,-151.259
Bloomfield,NM,City,7421,36.727,-107.982
Gridley,CA,City,7421,39.362,-121.697
Arcadia,FL,City,7420,27.22,-81.86
Woodlake,CA,City,7419,36.413,-119.1
Union,KY,City,7416,38.947,-84.673
Pacific,MO,City,7414,38.482,-90.755
Tuttle,OK,City,7413,35.307,-97.756
Piedmont,OK,City,7402,35.675,-97.754
Trumann,AR,City,7399,35.676,-90.523
Caribou,ME,City,7396,46.86,-68.012
Charles City,IA,City,7396,43.065,-92.674
Belle Plaine,MN,City,7395,44.618,-93.763
Commerce,GA,City,7387,34.214,-83.476
Forest City,NC,Town,7377,35.333,-81.871
Cedarhurst,NY,Village,7374,40.625,-73.728
Enoch,UT,City,7374,37.767,-113.043
Greenville,AL,City,7374,31.843,-86.637
