City,State_Abbre,Type,Population,Latitude,Longitude
Mobile,AL,City,187041,30.691,-88.046
Brownsville,TX,City,186738,25.902,-97.498
Newport News,VA,City,186247,36.98,-76.431
Fort Lauderdale,FL,City,182760,26.119,-80.143
Chattanooga,TN,City,181099,35.05,-85.31
Tempe,AZ,City,180587,33.415,-111.909
Aurora,IL,City,180542,41.758,-88.315
Santa Rosa,CA,City,178127,38.44,-122.713
Eugene,OR,City,176654,44.05,-123.093
Elk Grove,CA,City,176124,38.409,-121.371
Salem,OR,City,175535,44.939,-123.032
Ontario,CA,City,175265,34.063,-117.651
Cary,NC,Town,174721,35.787,-78.783
Rancho Cucamonga,CA,City,174453,34.107,-117.594
Oceanside,CA,City,174068,33.195,-117.384
Lancaster,CA,City,173516,34.697,-118.148
Garden Grove,CA,City,171949,33.775,-117.941
Pembroke Pines,FL,City,171178,26.002,-80.223
Fort Collins,CO,City,169810,40.587,-105.077
Palmdale,CA,City,169450,34.58,-118.117
Springfield,MO,City,169176,37.209,-93.292
Clarksville,TN,City,166722,36.528,-87.361
Salinas,CA,City,163542,36.678,-121.655
Hayward,CA,City,162954,37.671,-122.085
Paterson,NJ,City,159732,40.917,-74.172
Alexandria,VA,City,159467,38.805,-77.047
Macon,GA,Consolidated Government,157346,32.838,-83.628
Corona,CA,City,157136,33.876,-117.567
Kansas City,KS,City,156607,39.116,-94.627
Lakewood,CO,City,155984,39.705,-105.081
Springfield,MA,City,155929,42.101,-72.589
Sunnyvale,CA,City,155805,37.369,-122.037
Jackson,MS,City,153701,32.3,-90.186
Killeen,TX,City,153095,31.117,-97.73
Hollywood,FL,City,153067,26.011,-80.149
Murfreesboro,TN,City,152769,35.846,-86.392
Pasadena,TX,City,151950,29.691,-95.209
Bellevue,WA,City,151854,47.617,-122.202
Pomona,CA,City,151713,34.059,-117.752
Escondido,CA,City,151038,33.122,-117.081
Joliet,IL,City,150362,41.525,-88.082
Charleston,SC,City,150227,32.776,-79.931
Mesquite,TX,City,150108,32.767,-96.599
Naperville,IL,City,149540,41.774,-88.148
Rockford,IL,City,148655,42.271,-89.095
Bridgeport,CT,Town,148654,41.198,-73.194
Syracuse,NY,City,148620,43.047,-76.149
Savannah,GA,City,147780,32.079,-81.091
Roseville,CA,City,147773,38.752,-121.288
Torrance,CA,City,147067,33.836,-118.34
Fullerton,CA,City,143617,33.87,-117.924
Surprise,AZ,City,143148,33.63,-112.377
McAllen,TX,City,142210,26.203,-98.231
Thornton,CO,City,141867,39.871,-104.972
Visalia,CA,City,141384,36.33,-119.292
Olathe,KS,City,141290,38.882,-94.82
Gainesville,FL,City,141085,29.652,-82.325
West Valley City,UT,City,140230,40.697,-111.996
Orange,CA,City,139911,33.788,-117.853
Denton,TX,City,139869,33.215,-97.132
Warren,MI,City,139387,42.492,-83.028
Pasadena,CA,City,138699,34.148,-118.143
Waco,TX,City,138486,31.557,-97.132
Cedar Rapids,IA,City,137710,41.978,-91.664
Dayton,OH,City,137644,39.758,-84.191
Elizabeth,NJ,City,137298,40.665,-74.215
Hampton,VA,City,137148,37.026,-76.344
Columbia,SC,City,136632,34.001,-81.034
Kent,WA,City,136588,47.381,-122.231
Stamford,CT,Town,135470,41.124,-73.567
Lakewood,NJ,Township,135158,40.076,-74.199
Victorville,CA,City,134810,34.537,-117.294
Miramar,FL,City,134721,25.987,-80.238
Coral Springs,FL,City,134394,26.273,-80.266
Sterling Heights,MI,City,134346,42.58,-83.03
New Haven,CT,Town,134023,41.313,-72.931
Carrollton,TX,City,133434,32.954,-96.89
Midland,TX,City,132524,31.998,-102.074
Norman,OK,City,128026,35.221,-97.443
Santa Clara,CA,City,127647,37.354,-121.954
Athens,GA,Unified Government,127315,33.958,-83.375
Thousand Oaks,CA,City,126966,34.175,-118.845
Topeka,KS,City,126587,39.05,-95.677
Simi Valley,CA,City,126356,34.272,-118.779
Columbia,MO,City,126254,38.952,-92.329
Vallejo,CA,City,126090,38.101,-122.255
Fargo,ND,City,125990,46.874,-96.788
Allentown,PA,City,125845,40.602,-75.472
Pearland,TX,City,125828,29.564,-95.286
Concord,CA,City,125410,37.977,-122.034
Abilene,TX,City,125182,32.449,-99.733
Arvada,CO,City,124402,39.802,-105.081
Berkeley,CA,City,124321,37.871,-122.268
Ann Arbor,MI,City,123851,42.281,-83.748
Independence,MO,City,123011,39.092,-94.416
Rochester,MN,City,121395,44.023,-92.463
Lafayette,LA,City,121374,30.223,-92.02
Hartford,CT,Town,121054,41.761,-72.689
College Station,TX,City,120511,30.628,-96.335
Clovis,CA,City,120124,36.825,-119.7
Fairfield,CA,City,119881,38.249,-122.04
Palm Bay,FL,City,119760,28.035,-80.622
Richardson,TX,City,119469,32.949,-96.732
Round Rock,TX,City,119468,30.509,-97.679
Cambridge,MA,City,118403,42.376,-71.117
Meridian,ID,City,117635,43.605,-116.392
West Palm Beach,FL,City,117415,26.713,-80.052
Evansville,IN,City,117298,37.97,-87.574
Clearwater,FL,City,117292,27.966,-82.8
Billings,MT,City,117116,45.783,-108.507
West Jordan,UT,City,116961,40.61,-111.939
Richmond,CA,City,116448,37.936,-122.348
Westminster,CO,City,116317,39.835,-105.034
Manchester,NH,City,115644,42.991,-71.463
Lowell,MA,City,115554,42.645,-71.313
Wilmington,NC,City,115451,34.235,-77.949
Antioch,CA,City,115291,38.005,-121.806
Beaumont,TX,City,115282,30.082,-94.098
Provo,UT,City,115162,40.234,-111.659
North Charleston,SC,City,114852,32.854,-79.974
Elgin,IL,City,114797,42.037,-88.284
Carlsbad,CA,City,114746,33.158,-117.351
Odessa,TX,City,114428,31.848,-102.369
Waterbury,CT,Town,114403,41.554,-73.043
Springfield,IL,City,114394,39.801,-89.655
League City,TX,City,114392,29.508,-95.095
Downey,CA,City,114355,33.94,-118.133
Gresham,OR,City,114247,45.498,-122.431
High Point,NC,City,114059,35.957,-80.006
Broken Arrow,OK,City,113540,36.052,-95.791
Peoria,IL,City,113150,40.693,-89.591
Lansing,MI,City,112644,42.734,-84.552
Lakeland,FL,City,112641,28.045,-81.956
Pompano Beach,FL,City,112046,26.232,-80.126
Costa Mesa,CA,City,111918,33.641,-117.919
Pueblo,CO,City,111876,38.256,-104.624
Lewisville,TX,City,111822,33.046,-96.994
Miami Gardens,FL,City,111640,25.941,-80.245
Las Cruces,NM,City,111385,32.31,-106.779
Sugar Land,TX,City,111026,29.595,-95.621
Murrieta,CA,City,110949,33.554,-117.214
Ventura,CA,City,110763,34.281,-119.301
Everett,WA,City,110629,47.979,-122.202
Temecula,CA,City,110003,33.493,-117.149
Dearborn,MI,City,109976,42.322,-83.176
Santa Maria,CA,City,109707,34.953,-120.436
West Covina,CA,City,109501,34.069,-117.938
El Monte,CA,City,109450,34.073,-118.032
Greeley,CO,City,108795,40.425,-104.694
Sparks,NV,City,108445,39.535,-119.753
Centennial,CO,City,108418,39.586,-104.885
Boulder,CO,City,108250,40.018,-105.278
Sandy Springs,GA,City,108080,33.925,-84.379
Inglewood,CA,City,107762,33.962,-118.352
Edison,NJ,Township,107588,40.512,-74.387
South Fulton,GA,city,107436,33.657,-84.573
Green Bay,WI,City,107395,44.516,-88.008
Burbank,CA,City,107337,34.182,-118.31
Renton,WA,City,106785,47.48,-122.208
Hillsboro,OR,City,106447,45.523,-122.99
El Cajon,CA,City,106215,32.795,-116.962
Tyler,TX,City,105995,32.351,-95.301
Davie,FL,Town,105691,26.073,-80.232
San Mateo,CA,City,105661,37.564,-122.324
Brockton,MA,City,105643,42.083,-71.02
Concord,NC,City,105240,35.411,-80.581
Jurupa Valley,CA,City,105053,33.999,-117.475
Daly City,CA,City,104901,37.706,-122.462
Allen,TX,City,104627,33.103,-96.67
Rio Rancho,NM,City,104046,35.241,-106.656
Rialto,CA,City,104026,34.099,-117.37
Woodbridge,NJ,Township,103639,40.564,-74.301
South Bend,IN,City,103453,41.676,-86.252
Spokane Valley,WA,City,102976,47.657,-117.24
Norwalk,CA,City,102773,33.902,-118.083
Menifee,CA,City,102527,33.685,-117.189
Vacaville,CA,City,102386,38.357,-121.986
Wichita Falls,TX,City,102316,33.912,-98.492
Davenport,IA,City,101724,41.522,-90.576
Quincy,MA,City,101636,42.252,-71.004
Chico,CA,City,101475,39.728,-121.839
Lynn,MA,City,101253,42.464,-70.951
Lees Summit,MO,City,101108,38.912,-94.378
New Bedford,MA,City,101079,41.635,-70.926
Federal Way,WA,City,101030,47.315,-122.313
Clinton,MI,Charter Township,100513,42.591,-82.936
Edinburg,TX,City,100243,26.301,-98.162
Nampa,ID,City,100200,43.579,-116.562
Roanoke,VA,City,100011,37.272,-79.939
Kenosha,WI,City,99986,42.584,-87.823
San Angelo,TX,City,99893,31.464,-100.437
Hesperia,CA,City,99818,34.422,-117.302
Carmel,IN,City,99757,39.978,-86.127
Tuscaloosa,AL,City,99600,33.206,-87.567
Albany,NY,City,99224,42.653,-73.758
Bend,OR,City,99178,44.058,-121.313
Fishers,IN,City,98977,39.957,-86.017
Longmont,CO,City,98885,40.167,-105.103
Canton,MI,Charter Township,98659,42.307,-83.487
Vista,CA,City,98381,33.202,-117.244
Orem,UT,City,98129,40.297,-111.695
Portsmouth,VA,City,97915,36.835,-76.299
Beaverton,OR,City,97494,45.487,-122.804
Boca Raton,FL,City,97422,26.351,-80.086
Sunrise,FL,City,97335,26.17,-80.284
Yakima,WA,City,96968,46.602,-120.506
Sandy,UT,City,96904,40.573,-111.853
Compton,CA,City,95740,33.896,-118.22
Carson,CA,City,95558,33.832,-118.278
Yuma,AZ,City,95548,32.713,-114.625
Livonia,MI,City,95535,42.376,-83.353
Toms River,NJ,Township,95438,39.991,-74.191
St George,UT,City,95342,37.108,-113.583
Goodyear,AZ,City,95294,33.435,-112.409
Reading,PA,City,95112,40.335,-75.928
Lawrence,KS,City,94934,38.971,-95.236
San Marcos,CA,City,94833,33.141,-117.166
Erie,PA,City,94831,42.129,-80.085
Asheville,NC,City,94589,35.595,-82.552
Edmond,OK,City,94428,35.655,-97.481
Suffolk,VA,City,94324,36.73,-76.583
Fall River,MA,City,94000,41.702,-71.155
Fayetteville,AR,City,93949,36.063,-94.161
Deltona,FL,City,93692,28.901,-81.263
Mission Viejo,CA,City,93653,33.597,-117.669
Redding,CA,City,93611,40.586,-122.39
Santa Monica,CA,City,93076,34.019,-118.491
Tracy,CA,City,93000,37.74,-121.426
Roswell,GA,City,92833,34.022,-84.359
South Gate,CA,City,92726,33.955,-118.212
Hoover,AL,City,92606,33.4,-86.806
Hamilton,NJ,Township,92297,40.222,-74.686
Kirkland,WA,City,92175,47.675,-122.203
Plantation,FL,City,91750,26.121,-80.252
Buckeye,AZ,City,91502,33.371,-112.583
Bellingham,WA,City,91482,48.75,-122.479
Chino,CA,City,91403,34.012,-117.689
Nashua,NH,City,91322,42.765,-71.468
OFallon,MO,City,91316,38.811,-90.7
Norwalk,CT,Town,91184,41.13,-73.429
San Leandro,CA,City,91008,37.723,-122.154
Westminster,CA,City,90911,33.759,-118.007
Trenton,NJ,City,90871,40.22,-74.766
Mount Pleasant,SC,Town,90801,32.792,-79.872
New Braunfels,TX,City,90403,29.703,-98.125
Lawton,OK,City,90381,34.605,-98.392
Clifton,NJ,City,90296,40.867,-74.154
Bloomington,MN,City,89987,44.841,-93.298
Conroe,TX,City,89956,30.312,-95.458
Hemet,CA,City,89833,33.748,-116.972
Avondale,AZ,City,89334,33.435,-112.35
Waukegan,IL,City,89321,42.36,-87.831
Palm Coast,FL,City,89258,29.555,-81.211
Lawrence,MA,City,89143,42.708,-71.162
Fort Smith,AR,City,89142,35.383,-94.421
Indio,CA,City,89137,33.719,-116.216
Newton,MA,City,88923,42.337,-71.208
Santa Barbara,CA,City,88665,34.421,-119.702
Champaign,IL,City,88302,40.116,-88.243
Hawthorne,CA,City,88083,33.916,-118.353
Livermore,CA,City,87955,37.682,-121.768
Citrus Heights,CA,City,87583,38.707,-121.29
Greenville,NC,City,87521,35.611,-77.373
Santa Fe,NM,City,87505,35.687,-105.939
Ogden,UT,City,87321,41.221,-111.972
Whittier,CA,City,87306,33.979,-118.033
Troy,MI,City,87294,42.606,-83.15
Auburn,WA,City,87256,47.307,-122.229
Deerfield Beach,FL,City,86859,26.319,-80.101
Duluth,MN,City,86697,46.788,-92.099
Danbury,CT,Town,86518,41.408,-73.468
Brooklyn Park,MN,City,86478,45.094,-93.356
Fort Myers,FL,City,86395,26.643,-81.87
Merced,CA,City,86333,37.302,-120.485
Lake Forest,CA,City,85858,33.647,-117.686
Medford,OR,City,85824,42.327,-122.872
Sioux City,IA,City,85797,42.494,-96.403
Mission,TX,City,85778,26.216,-98.326
Westland,MI,City,85420,42.324,-83.399
Cicero,IL,Town,85268,41.846,-87.754
Newport Beach,CA,City,85239,33.619,-117.929
Lake Charles,LA,City,84872,30.229,-93.217
Melbourne,FL,City,84678,28.08,-80.604
San Ramon,CA,City,84605,37.776,-121.978
Redwood City,CA,City,84292,37.484,-122.226
Springdale,AR,City,84161,36.185,-94.129
Buena Park,CA,City,84034,33.868,-117.998
Farmington Hills,MI,City,83986,42.499,-83.378
Bryan,TX,City,83980,30.674,-96.373
Kennewick,WA,City,83921,46.209,-119.117
Baytown,TX,City,83701,29.735,-94.978
Manteca,CA,City,83498,37.797,-121.216
Franklin,TN,City,83454,35.925,-86.869
Cranston,RI,City,82934,41.779,-71.437
Miami Beach,FL,City,82890,25.791,-80.13
Alhambra,CA,City,82868,34.095,-118.127
Warwick,RI,City,82823,41.699,-71.46
Lakewood,CA,City,82496,33.854,-118.142
Largo,FL,City,82485,27.909,-82.788
Johns Creek,GA,City,82453,34.046,-84.223
Mountain View,CA,City,82376,37.39,-122.081
Temple,TX,City,82073,31.097,-97.343
Layton,UT,City,81773,41.06,-111.966
Longview,TX,City,81638,32.495,-94.74
Flint,MI,City,81252,43.017,-83.691
Parma,OH,City,81146,41.405,-81.723
Somerville,MA,City,81045,42.388,-71.103
Plymouth,MN,City,81026,45.015,-93.472
Homestead,FL,City,80737,25.47,-80.477
Folsom,CA,City,80454,38.678,-121.176
Gastonia,NC,City,80411,35.264,-81.184
