City,Region,Country,AirQuality,WaterPollution,State_Abbre
Columbia,Missouri,United States of America,96.42857143,25.0,MO
Napa,California,United States of America,92.85714286,37.5,CA
Jonesboro,Arkansas,United States of America,50.0,50.0,AR
Marion,Arkansas,United States of America,0.0,75.0,AR
Cabot,Arkansas,United States of America,75.0,25.0,AR
Russellville,Arkansas,United States of America,93.75,50.0,AR
Bullhead City,Arizona,United States of America,100.0,50.0,AZ
Texarkana,Arkansas,United States of America,87.5,50.0,AR
Rogers,Arkansas,United States of America,87.5,12.5,AR
Dothan,Alabama,United States of America,100.0,62.5,AL
Fort Smith,Arkansas,United States of America,95.0,25.0,AR
Tuscaloosa,Alabama,United States of America,86.11111111,40.0,AL
Fairbanks,Alaska,United States of America,68.18181818,10.0,AK
Van Buren,Arkansas,United States of America,100.0,50.0,AR
Kingman,Arizona,United States of America,100.0,75.0,AZ
Florence,Alabama,United States of America,100.0,50.0,AL
Yuma,Arizona,United States of America,77.77777778,45.0,AZ
Flagstaff,Arizona,United States of America,100.0,18.75,AZ
Palmer,Alaska,United States of America,95.0,0.0,AK
Huntsville,Alabama,United States of America,95.0,25.0,AL
Mobile,Alabama,United States of America,75.0,57.14285714,AL
Maricopa,Arizona,United States of America,100.0,50.0,AZ
Murfreesboro,Arkansas,United States of America,87.5,37.5,AR
Sierra Vista,Arizona,United States of America,75.0,30.0,AZ
Seward,Alaska,United States of America,100.0,0.0,AK
Hot Springs,Arkansas,United States of America,100.0,0.0,AR
Prescott,Arizona,United States of America,96.42857143,25.0,AZ
Wasilla,Alaska,United States of America,96.42857143,33.33333333,AK
Kodiak,Alaska,United States of America,100.0,25.0,AK
Shreveport,Louisiana,United States of America,78.125,91.66666667,LA
Gresham,Oregon,United States of America,100.0,0.0,OR
Beaverton,Oregon,United States of America,81.25,6.25,OR
Savannah,Georgia,United States of America,64.0625,52.08333333,GA
Sugar Land,Texas,United States of America,87.5,37.5,TX
Greeley,Colorado,United States of America,95.0,0.0,CO
Waukesha,Wisconsin,United States of America,87.5,50.0,WI
Appleton,Wisconsin,United States of America,89.28571429,25.0,WI
Eau Claire,Wisconsin,United States of America,96.42857143,33.33333333,WI
Charlottesville,Virginia,United States of America,100.0,58.33333333,VA
Beverly Hills,California,United States of America,100.0,0.0,CA
Yonkers,New York,United States of America,100.0,50.0,NY
Niagara Falls,New York,United States of America,100.0,50.0,NY
Waco,Texas,United States of America,81.25,68.75,TX
Frisco,Texas,United States of America,87.5,29.16666667,TX
Beaumont,Texas,United States of America,70.83333333,87.5,TX
Denton,Texas,United States of America,62.5,37.5,TX
Midland,Texas,United States of America,75.0,100.0,TX
Round Rock,Texas,United States of America,75.0,0.0,TX
Wichita Falls,Texas,United States of America,62.5,43.75,TX
Odessa,Texas,United States of America,100.0,50.0,TX
Lafayette,Louisiana,United States of America,92.85714286,0.0,LA
Oyster Bay,New York,United States of America,100.0,25.0,NY
Roy,Utah,United States of America,100.0,50.0,UT
Sioux Falls,South Dakota,United States of America,81.81818182,32.14285714,SD
Hanover,New Hampshire,United States of America,100.0,50.0,NH
Springfield,Missouri,United States of America,84.72222222,42.30769231,MO
Galveston,Texas,United States of America,85.71428571,50.0,TX
Abingdon,Virginia,United States of America,100.0,50.0,VA
Camden,New Jersey,United States of America,87.5,50.0,NJ
Hoboken,New Jersey,United States of America,56.25,62.5,NJ
Livermore,California,United States of America,75.0,54.16666667,CA
Atlantic City,New Jersey,United States of America,91.66666667,37.5,NJ
Allentown,Pennsylvania,United States of America,60.71428571,75.0,PA
Grants Pass,Oregon,United States of America,62.5,75.0,OR
Zanesville,Ohio,United States of America,50.0,85.0,OH
Brookhaven,Georgia,United States of America,50.0,75.0,GA
Santa Cruz,California,United States of America,88.23529412,34.61538462,CA
Santa Clara,California,United States of America,75.0,35.0,CA
Santa Barbara,California,United States of America,83.82352941,56.25,CA
Akron,Ohio,United States of America,65.0,83.33333333,OH
West Palm Beach,Florida,United States of America,72.5,66.66666667,FL
Fort Lauderdale,Florida,United States of America,81.57894737,42.10526316,FL
Billings,Montana,United States of America,75.0,40.0,MT
West Lafayette,Indiana,United States of America,75.0,75.0,IN
Crescent City,California,United States of America,100.0,0.0,CA
Kalamazoo,Michigan,United States of America,88.63636364,53.57142857,MI
San Mateo,California,United States of America,80.0,20.0,CA
Yuba City,California,United States of America,100.0,50.0,CA
Passaic,New Jersey,United States of America,50.0,75.0,NJ
Eugene,Oregon,United States of America,75.0,36.25,OR
Wilmington,Delaware,United States of America,66.66666667,87.5,DE
Poughkeepsie,New York,United States of America,91.66666667,12.5,NY
Puyallup,Washington,United States of America,75.0,25.0,WA
Rancho Palos Verdes,California,United States of America,87.5,25.0,CA
Augusta,Georgia,United States of America,71.875,33.33333333,GA
Grand Rapids,Michigan,United States of America,69.23076923,44.44444444,MI
Grapevine,Texas,United States of America,0.0,100.0,TX
Knoxville,Tennessee,United States of America,56.94444444,51.78571429,TN
Belvidere,Illinois,United States of America,75.0,25.0,IL
Chattanooga,Tennessee,United States of America,79.41176471,61.53846154,TN
Spokane,Washington,United States of America,77.88461538,25.0,WA
Missoula,Montana,United States of America,79.6875,22.91666667,MT
Boulder,Colorado,United States of America,85.0,47.91666667,CO
Tacoma,Washington,United States of America,78.94736842,50.0,WA
Modesto,California,United States of America,46.66666667,54.54545455,CA
Aspen,Colorado,United States of America,75.0,50.0,CO
Vallejo,California,United States of America,100.0,50.0,CA
Thousand Oaks,California,United States of America,92.5,20.83333333,CA
Sunnyvale,California,United States of America,77.08333333,55.55555556,CA
Oxnard,California,United States of America,95.0,0.0,CA
Santa Rosa,California,United States of America,81.25,29.54545455,CA
Rapid City,South Dakota,United States of America,92.5,37.5,SD
Binghamton,New York,United States of America,62.5,62.5,NY
Bellevue,Washington,United States of America,94.23076923,19.44444444,WA
Fayetteville,Arkansas,United States of America,94.44444444,20.0,AR
Macon,Georgia,United States of America,60.0,50.0,GA
Walla Walla,Washington,United States of America,100.0,0.0,WA
Casper,Wyoming,United States of America,100.0,33.33333333,WY
Redmond,Washington,United States of America,87.5,33.33333333,WA
Peoria,Illinois,United States of America,96.875,29.16666667,IL
Aberdeen,Washington,United States of America,100.0,0.0,WA
Rockford,Illinois,United States of America,60.71428571,60.0,IL
Vancouver,Washington,United States of America,73.07692308,29.80769231,WA
Erie,Pennsylvania,United States of America,80.0,100.0,PA
Hollywood,Florida,United States of America,100.0,37.5,FL
Aberdeen,South Dakota,United States of America,50.0,83.33333333,SD
Reading,Pennsylvania,United States of America,87.5,50.0,PA
Brunswick,Vermont,United States of America,100.0,37.5,VT
Columbus,Georgia,United States of America,82.5,45.0,GA
Mission,Texas,United States of America,100.0,0.0,TX
Huntington,West Virginia,United States of America,75.0,25.0,WV
Kingsport,Tennessee,United States of America,56.25,93.75,TN
Naperville,Illinois,United States of America,83.33333333,12.5,IL
Clearwater,Florida,United States of America,85.71428571,35.71428571,FL
Clifton,New Jersey,United States of America,100.0,0.0,NJ
Naples,Florida,United States of America,80.76923077,30.76923077,FL
Newport Beach,California,United States of America,93.75,25.0,CA
Scranton,Pennsylvania,United States of America,92.85714286,41.66666667,PA
Albany,Georgia,United States of America,75.0,16.66666667,GA
Duluth,Georgia,United States of America,50.0,0.0,GA
Blacksburg,Virginia,United States of America,75.0,0.0,VA
Newport,New Hampshire,United States of America,100.0,0.0,NH
Middletown,New York,United States of America,100.0,25.0,NY
Joplin,Missouri,United States of America,79.16666667,18.75,MO
Lancaster,Pennsylvania,United States of America,66.66666667,45.0,PA
Pocatello,Idaho,United States of America,83.33333333,87.5,ID
Simi Valley,California,United States of America,82.14285714,25.0,CA
Fairfield,California,United States of America,87.5,37.5,CA
Bangor,Maine,United States of America,87.5,12.5,ME
Rockville,Maryland,United States of America,87.5,50.0,MD
Laramie,Wyoming,United States of America,100.0,0.0,WY
Parkersburg,West Virginia,United States of America,0.0,100.0,WV
Fayetteville,North Carolina,United States of America,77.08333333,66.66666667,NC
Schenectady,New York,United States of America,50.0,50.0,NY
Newport News,Virginia,United States of America,66.66666667,62.5,VA
Holland,Indiana,United States of America,75.0,75.0,IN
Adelanto,California,United States of America,50.0,50.0,CA
Goldsboro,North Carolina,United States of America,60.0,100.0,NC
Chester,Pennsylvania,United States of America,87.5,50.0,PA
El Cajon,California,United States of America,50.0,25.0,CA
Pembroke Pines,Florida,United States of America,100.0,75.0,FL
Adrian,Georgia,United States of America,83.33333333,87.5,GA
Escondido,California,United States of America,75.0,12.5,CA
Farmville,North Carolina,United States of America,75.0,25.0,NC
Hattiesburg,Mississippi,United States of America,82.14285714,41.66666667,MS
Des Plaines,Illinois,United States of America,100.0,50.0,IL
Paradise,California,United States of America,75.0,50.0,CA
Everett,Washington,United States of America,88.63636364,32.14285714,WA
Columbia,Maryland,United States of America,100.0,25.0,MD
Temple,Texas,United States of America,100.0,0.0,TX
Bellingham,Washington,United States of America,94.73684211,30.0,WA
Chico,California,United States of America,72.5,50.0,CA
Alton,Illinois,United States of America,25.0,75.0,IL
Amargosa Valley,Nevada,United States of America,25.0,100.0,NV
Grand Island,Nebraska,United States of America,75.0,0.0,NE
Kenosha,Wisconsin,United States of America,87.5,12.5,WI
White Plains,New York,United States of America,37.5,62.5,NY
Urbana,Illinois,United States of America,87.5,12.5,IL
Cape Coral,Florida,United States of America,75.0,25.0,FL
Great Falls,Montana,United States of America,75.0,25.0,MT
Ames,Iowa,United States of America,66.66666667,50.0,IA
Spanish Fork,Utah,United States of America,75.0,0.0,UT
Logan,Utah,United States of America,67.85714286,0.0,UT
Tooele,Utah,United States of America,100.0,50.0,UT
Farmington,Utah,United States of America,100.0,50.0,UT
Lewiston,Utah,United States of America,75.0,0.0,UT
Berkeley,California,United States of America,79.16666667,36.11111111,CA
Ann Arbor,Michigan,United States of America,76.31578947,51.78571429,MI
Pasadena,California,United States of America,65.0,20.0,CA
Key West,Florida,United States of America,100.0,0.0,FL
Duluth,Minnesota,United States of America,96.42857143,25.0,MN
Glendale,California,United States of America,77.5,45.83333333,CA
San Bernardino,California,United States of America,0.0,50.0,CA
Pensacola,Florida,United States of America,66.17647059,53.125,FL
Cedar Rapids,Iowa,United States of America,89.28571429,25.0,IA
Evansville,Indiana,United States of America,68.75,37.5,IN
Kansas City,Kansas,United States of America,68.75,31.25,KS
Rochester,Minnesota,United States of America,80.55555556,62.5,MN
Mountain View,California,United States of America,91.66666667,33.33333333,CA
Pomona,California,United States of America,37.5,75.0,CA
South Bend,Indiana,United States of America,92.85714286,33.33333333,IN
Minot,North Dakota,United States of America,68.75,75.0,ND
Monterey,California,United States of America,91.66666667,34.375,CA
Iowa City,Iowa,United States of America,83.33333333,37.5,IA
St. Augustine,Florida,United States of America,87.5,62.5,FL
Gainesville,Florida,United States of America,87.5,34.375,FL
Palm Springs,California,United States of America,43.75,87.5,CA
Salinas,California,United States of America,100.0,50.0,CA
Ontario,California,United States of America,33.33333333,25.0,CA
Eureka,California,United States of America,100.0,0.0,CA
Oceanside,California,United States of America,75.0,75.0,CA
Palmdale,California,United States of America,32.14285714,50.0,CA
Torrance,California,United States of America,75.0,0.0,CA
Sioux City,Iowa,United States of America,100.0,50.0,IA
Bloomington,Indiana,United States of America,83.33333333,55.0,IN
Ventura,California,United States of America,85.0,35.0,CA
Concord,California,United States of America,62.5,12.5,CA
Flint,Michigan,United States of America,62.5,87.5,MI
Gulfport,Mississippi,United States of America,100.0,0.0,MS
Daytona Beach,Florida,United States of America,96.42857143,46.42857143,FL
Biloxi,Mississippi,United States of America,100.0,50.0,MS
Fort Collins,Colorado,United States of America,86.84210526,35.0,CO
Alameda,California,United States of America,62.5,37.5,CA
Carlsbad,California,United States of America,75.0,25.0,CA
Hayward,California,United States of America,87.5,25.0,CA
Fontana,California,United States of America,45.0,35.0,CA
Santa Clarita,California,United States of America,87.5,31.25,CA
Canton,Ohio,United States of America,83.33333333,25.0,OH
Roseville,California,United States of America,93.75,40.0,CA
Anderson,Indiana,United States of America,90.0,25.0,IN
Sarasota,Florida,United States of America,90.38461538,25.0,FL
Williamsburg,Virginia,United States of America,100.0,0.0,VA
Winchester,Virginia,United States of America,100.0,50.0,VA
Terre Haute,Indiana,United States of America,75.0,12.5,IN
Walnut Creek,California,United States of America,83.33333333,8.333333333,CA
Lawrence,Kansas,United States of America,87.5,50.0,KS
Owensboro,Kentucky,United States of America,60.71428571,66.66666667,KY
Carson,California,United States of America,25.0,100.0,CA
Corona,California,United States of America,50.0,37.5,CA
Lancaster,California,United States of America,87.5,12.5,CA
Fullerton,California,United States of America,100.0,25.0,CA
Victorville,California,United States of America,85.71428571,50.0,CA
Antioch,California,United States of America,0.0,75.0,CA
Redding,California,United States of America,72.22222222,45.83333333,CA
Rancho Cucamonga,California,United States of America,66.66666667,16.66666667,CA
El Centro,California,United States of America,78.57142857,66.66666667,CA
Visalia,California,United States of America,40.0,75.0,CA
Idaho Falls,Idaho,United States of America,95.83333333,16.66666667,ID
Tyler,Texas,United States of America,66.66666667,45.83333333,TX
Merced,California,United States of America,87.5,50.0,CA
Costa Mesa,California,United States of America,56.25,40.0,CA
Yakima,Washington,United States of America,78.125,31.25,WA
Coeur d'Alene,Idaho,United States of America,79.16666667,50.0,ID
Moscow,Idaho,United States of America,37.5,62.5,ID
Overland Park,Kansas,United States of America,98.21428571,16.66666667,KS
Lewiston,Maine,United States of America,100.0,50.0,ME
Lawton,Oklahoma,United States of America,100.0,50.0,OK
Redwood City,California,United States of America,100.0,0.0,CA
Coral Springs,Florida,United States of America,100.0,50.0,FL
Decatur,Illinois,United States of America,70.83333333,37.5,IL
Mission Viejo,California,United States of America,75.0,75.0,CA
Fort Myers,Florida,United States of America,70.58823529,85.0,FL
Albany,Oregon,United States of America,75.0,12.5,OR
Encinitas,California,United States of America,75.0,12.5,CA
Alexandria,Minnesota,United States of America,100.0,25.0,MN
Twin Falls,Idaho,United States of America,75.0,75.0,ID
Merrillville,Indiana,United States of America,87.5,50.0,IN
Ankeny,Iowa,United States of America,100.0,50.0,IA
Bozeman,Montana,United States of America,100.0,5.555555556,MT
Greenville,South Carolina,United States of America,91.25,18.33333333,SC
New Braunfels,Texas,United States of America,100.0,31.25,TX
Pittsfield,Illinois,United States of America,100.0,50.0,IL
Wheaton,Illinois,United States of America,100.0,0.0,IL
Macomb,Illinois,United States of America,75.0,0.0,IL
McHenry,Illinois,United States of America,75.0,75.0,IL
Lockport,Illinois,United States of America,100.0,0.0,IL
Quincy,Illinois,United States of America,91.66666667,25.0,IL
Corning,New York,United States of America,100.0,37.5,NY
Crystal Lake,Illinois,United States of America,68.75,25.0,IL
Bloomington,Illinois,United States of America,93.75,25.0,IL
Collinsville,Illinois,United States of America,75.0,25.0,IL
Rock Island,Illinois,United States of America,79.16666667,50.0,IL
Champaign,Illinois,United States of America,58.33333333,33.33333333,IL
Mount Vernon,Illinois,United States of America,100.0,0.0,IL
Burlington,Iowa,United States of America,87.5,37.5,IA
DeKalb,Illinois,United States of America,75.0,50.0,IL
Bradenton,Florida,United States of America,83.33333333,42.85714286,FL
Hazel Park,Michigan,United States of America,25.0,25.0,MI
Kissimmee,Florida,United States of America,70.0,68.75,FL
Fort Pierce,Florida,United States of America,75.0,0.0,FL
Deerfield Beach,Florida,United States of America,91.66666667,36.11111111,FL
Paso Robles,California,United States of America,100.0,75.0,CA
Germantown,Tennessee,United States of America,100.0,25.0,TN
Florence,South Carolina,United States of America,100.0,50.0,SC
Yucaipa,California,United States of America,50.0,75.0,CA
East Chicago,Indiana,United States of America,100.0,50.0,IN
Lorain,Ohio,United States of America,0.0,50.0,OH
Palm Coast,Florida,United States of America,90.0,55.0,FL
Fairfax,South Carolina,United States of America,78.33333333,28.84615385,SC
Apple Valley,California,United States of America,100.0,0.0,CA
Thomasville,North Carolina,United States of America,87.5,50.0,NC
High Point,North Carolina,United States of America,75.0,12.5,NC
Norwich,Connecticut,United States of America,92.85714286,50.0,CT
San Rafael,California,United States of America,100.0,0.0,CA
Lafayette,Indiana,United States of America,66.66666667,56.25,IN
Lakeland,Florida,United States of America,100.0,45.0,FL
Barrington,Rhode Island,United States of America,50.0,25.0,RI
Santa Maria,California,United States of America,83.33333333,75.0,CA
Asheville,North Carolina,United States of America,88.88888889,48.0,NC
Gainesville,Georgia,United States of America,100.0,50.0,GA
Morgantown,West Virginia,United States of America,86.11111111,75.0,WV
Atascadero,California,United States of America,100.0,100.0,CA
Citrus Heights,California,United States of America,100.0,50.0,CA
Wilmington,North Carolina,United States of America,100.0,50.0,NC
Tupelo,Mississippi,United States of America,85.71428571,25.0,MS
Perry,Georgia,United States of America,87.5,50.0,GA
Davis,California,United States of America,75.0,25.0,CA
College Park,Maryland,United States of America,100.0,0.0,MD
Bend,Oregon,United States of America,100.0,0.0,OR
Chapel Hill,North Carolina,United States of America,83.33333333,41.66666667,NC
Pueblo,Colorado,United States of America,95.0,50.0,CO
Clinton,Iowa,United States of America,87.5,50.0,IA
Renton,Washington,United States of America,62.5,16.66666667,WA
Highland,California,United States of America,50.0,100.0,CA
Bowling Green,Kentucky,United States of America,91.66666667,100.0,KY
Bremerton,Washington,United States of America,100.0,25.0,WA
College Station,Texas,United States of America,77.5,35.0,TX
Ashland,Ohio,United States of America,83.33333333,8.333333333,OH
